order_item_id,order_id,product_name,quantity,unit_price
5001,1001,Office Chair,2,189.0
5002,1002,Standing Desk Converter,1,159.0
5003,1003,Bluetooth Speaker,1,39.0
5004,1003,USB-C Hub,2,34.5
5005,1003,Webcam 1080p,2,45.0
5006,1003,Portable SSD 1TB,3,89.99
5007,1004,Bluetooth Speaker,1,39.0
5008,1004,Laptop Stand,3,29.95
5009,1004,Office Chair,2,189.0
5010,1004,Laptop Stand,3,29.95
5011,1005,Office Chair,1,189.0
5012,1005,Portable SSD 1TB,1,89.99
5013,1005,Mechanical Keyboard,3,79.99
5014,1005,Bluetooth Speaker,2,39.0
5015,1006,Standing Desk Converter,1,159.0
5016,1006,Noise Cancelling Headphones,1,129.0
5017,1007,Desk Lamp,1,24.5
5018,1008,Wireless Mouse,1,18.99
5019,1008,Laptop Stand,1,29.95
5020,1008,Webcam 1080p,2,45.0
5021,1009,Noise Cancelling Headphones,1,129.0
5022,1009,Mechanical Keyboard,3,79.99
5023,1009,Noise Cancelling Headphones,3,129.0
5024,1010,27in Monitor,1,219.0
5025,1010,USB-C Hub,3,34.5
5026,1011,Portable SSD 1TB,3,89.99
5027,1011,Mechanical Keyboard,2,79.99
5028,1011,Portable SSD 1TB,1,89.99
5029,1011,Mechanical Keyboard,2,79.99
5030,1012,Desk Lamp,2,24.5
5031,1012,Bluetooth Speaker,1,39.0
5032,1012,Desk Lamp,2,24.5
5033,1013,USB-C Hub,2,34.5
5034,1013,Laptop Stand,3,29.95
5035,1014,Bluetooth Speaker,2,39.0
5036,1014,Standing Desk Converter,2,159.0
5037,1014,Desk Lamp,2,24.5
5038,1015,Noise Cancelling Headphones,2,129.0
5039,1015,USB-C Hub,1,34.5
5040,1016,Portable SSD 1TB,2,89.99
5041,1016,Portable SSD 1TB,2,89.99
5042,1016,Standing Desk Converter,2,159.0
5043,1016,Wireless Mouse,3,18.99
5044,1017,Webcam 1080p,1,45.0
5045,1017,Portable SSD 1TB,3,89.99
5046,1017,Standing Desk Converter,1,159.0
5047,1017,Portable SSD 1TB,3,89.99
5048,1018,Webcam 1080p,1,45.0
5049,1018,Portable SSD 1TB,2,89.99
5050,1018,Mechanical Keyboard,3,79.99
5051,1018,Mechanical Keyboard,3,79.99
5052,1019,Bluetooth Speaker,3,39.0
5053,1019,Bluetooth Speaker,3,39.0
5054,1019,27in Monitor,3,219.0
5055,1020,Bluetooth Speaker,3,39.0
5056,1021,Webcam 1080p,2,45.0
5057,1022,Portable SSD 1TB,2,89.99
5058,1023,USB-C Hub,2,34.5
5059,1023,Laptop Stand,3,29.95
5060,1024,27in Monitor,1,219.0
5061,1024,27in Monitor,3,219.0
5062,1024,Laptop Stand,3,29.95
5063,1024,Office Chair,2,189.0
5064,1025,Webcam 1080p,2,45.0
5065,1025,Webcam 1080p,3,45.0
5066,1026,USB-C Hub,2,34.5
5067,1026,USB-C Hub,1,34.5
5068,1026,Mechanical Keyboard,3,79.99
5069,1027,Office Chair,2,189.0
5070,1027,USB-C Hub,2,34.5
5071,1027,Wireless Mouse,2,18.99
5072,1027,Office Chair,1,189.0
5073,1028,Laptop Stand,3,29.95
5074,1028,Standing Desk Converter,3,159.0
5075,1028,Webcam 1080p,3,45.0
5076,1028,Noise Cancelling Headphones,3,129.0
5077,1029,USB-C Hub,3,34.5
5078,1029,Mechanical Keyboard,2,79.99
5079,1029,Wireless Mouse,3,18.99
5080,1030,Portable SSD 1TB,1,89.99
5081,1030,Bluetooth Speaker,1,39.0
5082,1030,Bluetooth Speaker,2,39.0
5083,1031,Bluetooth Speaker,2,39.0
5084,1031,USB-C Hub,1,34.5
5085,1031,Wireless Mouse,1,18.99
5086,1032,Desk Lamp,1,24.5
5087,1032,USB-C Hub,1,34.5
5088,1032,Office Chair,1,189.0
5089,1033,Desk Lamp,2,24.5
5090,1033,Bluetooth Speaker,3,39.0
5091,1033,Standing Desk Converter,3,159.0
5092,1033,Noise Cancelling Headphones,3,129.0
5093,1034,Noise Cancelling Headphones,3,129.0
5094,1034,USB-C Hub,2,34.5
5095,1035,Webcam 1080p,1,45.0
5096,1035,Standing Desk Converter,2,159.0
5097,1035,Mechanical Keyboard,2,79.99
5098,1035,Desk Lamp,1,24.5
5099,1036,USB-C Hub,3,34.5
5100,1036,Laptop Stand,3,29.95
5101,1036,Bluetooth Speaker,2,39.0
5102,1037,Noise Cancelling Headphones,2,129.0
5103,1038,USB-C Hub,2,34.5
5104,1038,USB-C Hub,3,34.5
5105,1039,Bluetooth Speaker,3,39.0
5106,1039,Portable SSD 1TB,1,89.99
