order_id,customer_id,order_date,order_amount,status
1001,1,2025-08-17,867.02,Completed
1002,4,2025-03-20,324.19,Completed
1003,4,2025-03-22,553.45,Cancelled
1004,4,2024-04-28,358.96,Cancelled
1005,4,2024-07-13,244.15,Refunded
1006,5,2024-01-02,477.52,Cancelled
1007,5,2024-07-20,340.5,Completed
1008,5,2024-12-04,568.37,Refunded
1009,6,2024-05-07,653.37,Completed
1010,6,2025-06-03,292.16,Pending
1011,6,2024-11-30,374.1,Completed
1012,6,2025-07-21,132.0,Pending
1013,6,2025-01-23,616.03,Completed
1014,6,2025-08-05,284.83,Cancelled
1015,7,2024-01-01,287.4,Completed
1016,7,2025-03-16,711.46,Cancelled
1017,7,2024-11-25,429.18,Pending
1018,7,2024-08-06,469.82,Refunded
1019,7,2024-06-22,599.78,Completed
1020,7,2025-06-11,604.18,Cancelled
1021,8,2024-04-05,740.2,Completed
1022,8,2024-11-13,217.67,Completed
1023,9,2024-01-26,60.66,Pending
1024,10,2024-03-15,420.76,Refunded
1025,10,2025-08-12,191.09,Refunded
1026,10,2025-01-28,455.04,Completed
1027,10,2024-05-31,597.32,Completed
1028,11,2024-04-19,705.0,Completed
1029,11,2024-06-29,727.61,Refunded
1030,11,2025-06-14,428.79,Cancelled
1031,11,2024-09-12,827.36,Completed
1032,11,2025-04-12,137.33,Pending
1033,11,2025-06-27,889.34,Cancelled
1034,12,2025-03-29,559.12,Refunded
1035,12,2025-05-31,395.52,Cancelled
1036,13,2024-06-11,674.41,Pending
1037,13,2025-04-05,248.08,Completed
1038,13,2024-10-10,693.91,Cancelled
1039,14,2024-09-01,261.64,Completed
1040,14,2024-10-19,226.34,Completed
1041,14,2024-11-23,805.85,Completed
1042,15,2024-06-03,223.5,Refunded
1043,16,2024-08-07,76.51,Pending
1044,17,2025-07-09,430.0,Completed
1045,17,2024-07-30,752.93,Pending
1046,18,2025-08-21,852.52,Completed
1047,18,2025-08-12,354.73,Completed
1048,18,2024-12-26,282.77,Pending
1049,18,2025-03-05,493.62,Refunded
1050,18,2025-07-13,723.87,Completed
1051,18,2025-05-14,213.08,Pending
1052,19,2024-01-30,362.18,Refunded
1053,19,2025-02-18,657.27,Pending
1054,19,2024-05-10,883.03,Cancelled
1055,21,2025-07-31,603.43,Completed
1056,21,2025-03-14,139.41,Pending
1057,21,2024-07-05,64.24,Pending
1058,22,2024-08-04,420.13,Completed
1059,22,2025-01-23,264.86,Pending
1060,23,2024-03-24,433.86,Refunded
1061,23,2025-07-06,65.83,Completed
1062,24,2024-03-11,707.48,Refunded
1063,26,2024-02-01,855.65,Completed
1064,26,2024-01-21,566.77,Completed
1065,26,2024-05-09,436.72,Completed
1066,26,2025-07-31,854.02,Pending
1067,26,2024-09-19,694.86,Completed
1068,26,2024-04-27,704.45,Completed
1069,27,2024-04-20,529.23,Completed
1070,27,2025-08-12,616.06,Pending
1071,28,2024-07-22,86.87,Refunded
1072,28,2024-09-05,109.66,Completed
1073,28,2024-05-03,720.67,Cancelled
1074,29,2024-02-12,325.53,Pending
1075,29,2025-01-14,80.67,Refunded
1076,29,2024-12-15,31.12,Pending
1077,29,2025-05-16,112.86,Completed
1078,29,2025-04-15,642.42,Pending
1079,29,2024-06-29,665.73,Refunded
1080,30,2025-07-05,701.67,Pending
1081,30,2025-03-22,746.64,Cancelled
1082,31,2024-11-26,769.5,Completed
1083,31,2024-10-12,795.83,Completed
1084,32,2025-04-20,521.46,Refunded
1085,32,2025-01-23,316.02,Pending
1086,32,2024-11-28,180.01,Completed
1087,32,2024-12-29,722.08,Completed
1088,32,2024-10-13,794.67,Refunded
1089,32,2024-10-09,509.09,Cancelled
1090,33,2024-03-28,232.38,Pending
1091,34,2025-07-22,687.17,Refunded
1092,34,2025-05-02,588.38,Pending
1093,34,2025-04-03,717.77,Completed
1094,35,2024-08-14,375.86,Completed
1095,35,2024-11-09,604.27,Completed
1096,36,2025-07-20,487.2,Pending
1097,36,2025-07-17,311.09,Refunded
1098,36,2025-04-09,258.4,Completed
1099,37,2024-05-03,654.72,Completed
1100,39,2025-07-02,856.76,Refunded
1101,39,2024-07-08,188.55,Refunded
1102,39,2025-05-10,263.31,Cancelled
1103,39,2025-06-21,545.17,Completed
1104,39,2024-07-17,280.69,Completed
1105,40,2024-11-05,32.44,Cancelled
1106,41,2024-10-07,60.04,Completed
1107,42,2024-10-26,633.72,Completed
1108,42,2025-05-17,110.27,Completed
1109,42,2025-08-10,270.21,Pending
1110,42,2025-03-27,319.81,Completed
1111,43,2025-05-04,120.39,Completed
1112,43,2025-02-14,452.73,Cancelled
1113,44,2024-02-24,153.51,Cancelled
1114,44,2024-11-07,94.95,Completed
1115,44,2024-05-01,511.09,Pending
1116,44,2024-08-19,702.6,Pending
1117,44,2025-04-06,819.47,Completed
1118,45,2025-03-15,288.72,Cancelled
1119,45,2024-03-02,556.47,Refunded
1120,45,2024-04-11,853.87,Completed
1121,45,2024-08-04,252.88,Completed
1122,45,2024-06-09,231.07,Cancelled
1123,45,2024-03-17,157.74,Pending
1124,46,2025-04-26,276.3,Completed
1125,46,2024-10-22,642.11,Refunded
1126,46,2025-04-09,82.63,Completed
1127,47,2024-07-21,394.11,Cancelled
1128,47,2024-08-18,589.91,Completed
1129,48,2024-05-25,82.83,Completed
1130,48,2024-11-10,543.63,Cancelled
1131,48,2024-10-22,406.45,Pending
1132,48,2024-11-07,635.76,Completed
1133,48,2025-05-27,495.17,Pending
1134,48,2024-03-23,546.26,Pending
1135,49,2024-11-26,551.26,Completed
1136,49,2024-04-03,221.44,Refunded
1137,49,2025-08-12,536.66,Completed
1138,49,2024-10-02,527.09,Completed
1139,49,2025-04-26,476.68,Pending
1140,50,2024-07-04,897.3,Pending
1141,50,2025-05-18,872.76,Pending
1142,51,2025-02-22,313.3,Refunded
1143,51,2024-04-17,774.8,Completed
1144,52,2025-05-22,273.62,Pending
1145,52,2025-07-17,52.28,Completed
1146,52,2024-11-18,242.1,Completed
1147,53,2025-02-17,781.11,Completed
1148,53,2025-07-09,426.53,Completed
1149,53,2024-07-11,476.22,Cancelled
1150,53,2025-05-25,570.35,Completed
1151,53,2024-07-27,255.0,Completed
1152,53,2024-10-21,405.53,Refunded
1153,54,2024-05-04,45.4,Refunded
1154,54,2024-09-02,644.6,Completed
1155,54,2025-07-18,32.02,Pending
1156,56,2024-04-26,426.06,Completed
1157,57,2024-06-06,458.56,Refunded
1158,57,2024-10-25,467.8,Completed
1159,57,2025-03-01,754.55,Pending
1160,57,2024-09-06,421.96,Completed
1161,57,2025-01-27,187.73,Cancelled
1162,58,2024-05-19,780.33,Completed
1163,58,2025-02-28,319.08,Cancelled
1164,58,2024-09-30,742.07,Completed
1165,58,2024-11-01,756.97,Cancelled
1166,59,2025-05-16,781.42,Pending
1167,59,2025-07-05,446.21,Completed
1168,59,2025-07-19,691.32,Pending
1169,59,2025-04-11,840.9,Completed
1170,59,2024-09-01,523.17,Completed
